row_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
500001,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
500002,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
500003,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
500004,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
500005,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
500006,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
500007,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
500008,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
500009,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no
500010,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no
500011,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
500012,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
500013,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
500014,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
500015,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
500016,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
500017,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
500018,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
500019,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
500020,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
500021,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
500022,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
500023,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
500024,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
500025,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
500026,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
500027,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
500028,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
500029,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no
500030,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
500031,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
500032,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no
500033,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
500034,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
500035,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
500036,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no
500037,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no
500038,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no
500039,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
500040,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
500041,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
500042,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no
500043,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
500044,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
500045,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no
500046,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
500047,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
500048,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
500049,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
500050,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no
500051,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
500052,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
500053,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
500054,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
500055,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
500056,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no
500057,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
500058,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no
500059,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
500060,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
500061,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
500062,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
500063,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no
500064,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no
500065,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
500066,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
500067,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
500068,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
500069,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no
500070,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
500071,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
500072,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
500073,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
500074,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no
500075,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
500076,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
500077,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no
500078,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no
500079,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
500080,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no
500081,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no
500082,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
500083,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
500084,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
500085,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
500086,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
500087,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
500088,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
500089,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
500090,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
500091,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
500092,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
500093,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
